Country,Impact,Source,BEEF,PORK,EGGS,POUM,ANIMP,DAIR,SGMP,SWHE,SOYA,PULS,OFRU,MAIZ,RICE
DK000000,GHG emissions,CH4BUL,0.018226685,0.006129346,0.000462642,0.006228523,0.003081111,0.001224794,0.025239599,,,,,,
DK000000,GHG emissions,CO2PRL,0.332150673,0.130085771,0.082879005,0.141966662,0.060870059,0.019197957,0.329758062,,,,,,
DK000000,GHG emissions,CO2FTR,0.957275877,0.398145959,0.091350175,0.317548535,0.185690201,0.068013146,1.2938972,,,,,,
DK000000,GHG emissions,CO2FPR,0.145774104,0.063229985,0.057686574,0.341038457,0.037921729,0.009277357,0.191768544,,,,,,
DK000000,GHG emissions,CO2SEL,0.067225564,0.032391942,0.024125877,0.033504049,0.015033117,0.005118038,0.056197703,,,,,,
DK000000,GHG emissions,CO2PPL,0.022722039,0.007289141,0.003300626,0.0075053,0.003706716,0.001437715,0.021718271,,,,,,
DK000000,GHG emissions,CO2BIL,3.948431579,1.324001522,0.097018795,1.289767122,0.664547752,0.265363596,5.467221825,,,,,,
DK000000,GHG emissions,CO2SOL,2.969043192,1.018723334,0.097802769,1.020783536,0.508778438,0.20080009,4.102549455,,,,,,
DK000000,GHG emissions,CO2SQL,3.213045301,1.688801032,0.86280253,1.600479752,0.765971669,0.262856031,3.525277972,,,,,,
DK000000,GHG emissions,CO2HIL,0.647628151,0.228000456,0.035996195,0.163860571,0.111268563,0.044353428,0.869343051,,,,,,
DK000000,GHG emissions,CO2DIC,0.531332435,0.176515813,0.102283428,0.176846927,0.087920547,0.032517383,0.39386635,,,,,,
DK000000,GHG emissions,CO2OFC,0.015292503,0.015449255,0.013410411,0.014379855,0.006261186,0.001643225,0.012241363,,,,,,
DK000000,GHG emissions,CO2ELC,0.017823343,0.016500182,0.014194716,0.015349624,0.006756671,0.001815332,0.014343143,,,,,,
DK000000,GHG emissions,CO2INC,0.444035708,0.115382218,0.07363939,0.111371347,0.062546175,0.025919265,0.34135777,,,,,,
DK000000,GHG emissions,CO2OFA,,0.822712082,,,0.225993257,,,,,,,,
DK000000,GHG emissions,CO2ELA,0.315000407,0.068652548,0.04715458,0.069278617,0.057838776,0.044831671,0.173894343,,,,,,
DK000000,GHG emissions,CO2INA,1.679087104,0.414349966,0.141327379,0.451132793,0.202734102,0.057414534,0.64634115,,,,,,
DE000000,GHG emissions,N2OMA2,0.83672247,0.758309896,0.07739359,0.129731655,0.16689342,0.050606391,0.198248205,,,,,,
DE000000,GHG emissions,N2OAPL,1.35487453,0.214290985,0.125459555,0.173412117,0.143741477,0.074066712,1.105136424,,,,,,
DE000000,GHG emissions,N2OGRC,0.212292071,0.011537257,0.004313897,0.008261045,0.016585902,0.008698899,0.120718693,,,,,,
DE000000,GHG emissions,N2OSYN,0.832684348,0.43705323,0.216429077,0.31198699,0.140953564,0.054037416,0.555376021,,,,,,
DE000000,GHG emissions,N2OHIL,0.536063801,0.061565457,0.048267652,0.068364902,0.050661866,0.025200507,0.294461489,,,,,,
DE000000,GHG emissions,N2OLEL,0.141918292,0.081553127,0.031685133,0.037527755,0.025707272,0.010968345,0.163578989,,,,,,
DE000000,GHG emissions,N2OCRL,0.471207251,0.143978447,0.052306161,0.09657819,0.061968625,0.028631508,0.465381269,,,,,,
DE000000,GHG emissions,N2OAML,0.342708241,0.130911581,0.043085974,0.093915743,0.046594358,0.018057997,0.117660387,,,,,,
DE000000,GHG emissions,N2OPRL,0.163925938,0.184823607,0.092157942,0.139618636,0.046147862,0.0144521,0.115386209,,,,,,
DE000000,GHG emissions,N2OBUL,0.002825522,0.001909618,0.000358344,0.001233954,0.000584699,0.000256465,0.00279077,,,,,,
DE000000,GHG emissions,N2OSOL,0.141763246,0.103505767,0.022565846,0.067000722,0.030570108,0.012939298,0.136206149,,,,,,
DE000000,GHG emissions,CH4EN2,9.008405306,0.182308264,,,0.75756412,0.498423523,8.134408468,,,,,,
DE000000,GHG emissions,CH4MA2,1.16336716,0.774876401,0.037341778,0.045940336,0.226848896,0.113537702,0.193192201,,,,,,
DE000000,GHG emissions,CH4BUL,0.004820084,0.003190949,0.00058247,0.002063652,0.000987701,0.000437651,0.00480192,,,,,,
DE000000,GHG emissions,CO2PRL,0.210105841,0.21243539,0.107535243,0.160076249,0.054667035,0.01759062,0.154410144,,,,,,
DE000000,GHG emissions,CO2FTR,0.281286958,0.295611003,0.098403964,0.19636585,0.076284244,0.027748875,0.275136073,,,,,,
DE000000,GHG emissions,CO2FPR,0.078050388,0.073705514,0.07002233,0.216896537,0.025902583,0.00701559,0.074965254,,,,,,
DE000000,GHG emissions,CO2SEL,0.044184029,0.033607739,0.017278253,0.026879431,0.009868919,0.003736985,0.030501222,,,,,,
DE000000,GHG emissions,CO2PPL,0.018088696,0.008990739,0.003836564,0.006477905,0.003092144,0.001314978,0.018407152,,,,,,
DE000000,GHG emissions,CO2BIL,1.029048228,0.681486522,0.120919012,0.437074915,0.210401113,0.093069035,1.014981064,,,,,,
DE000000,GHG emissions,CO2SOL,1.410026827,1.029130387,0.223908981,0.666233245,0.304041836,0.128750824,1.356586174,,,,,,
DE000000,GHG emissions,CO2SQL,1.099323189,1.645299176,0.779972515,1.244808296,0.40088416,0.13530054,0.255284332,,,,,,
