Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vitamin D3,ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Vit. D (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
ALA 18:3 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
EPA 20:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
DPA 22:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
DHA 22:6 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Vit. A (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Water,g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,61.2,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Protein (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,45.10309278,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Chitin corrected protein,g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,0,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Chitin,g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,5.412371134,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Ca (mg),mg/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,2407.216495,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
I (ug),ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,67.01030928,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Fe (mg),mg/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,17.16494845,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Zn (mg),mg/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,14.48453608,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Vit. B12 (ug),ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,14.3814433,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Vitamin D2(µg),ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,0.515463918,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Vitamin D3,ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,0.644329897,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Vit. D (ug),ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,1.159793814,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
ALA 18:3 n-3 (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
EPA 20:5 n-3 (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
DPA 22:5 n-3 (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
DHA 22:6 n-3 (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Vit. A (ug),ug/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,77.31958763,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
Water,g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,62.35769231,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Protein (g),g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,58.70488323,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Chitin corrected protein,g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Chitin,g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,5.307855626,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Ca (mg),mg/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
I (ug),ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Fe (mg),mg/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Zn (mg),mg/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. B12 (ug),ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vitamin D2(µg),ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vitamin D3,ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. D (ug),ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
ALA 18:3 n-3 (g),g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
EPA 20:5 n-3 (g),g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
DPA 22:5 n-3 (g),g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
DHA 22:6 n-3 (g),g/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. A (ug),ug/100g,Schiavone et al 2017,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Schiavone et al 2017_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Water,g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,62.35769231,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Protein (g),g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Chitin corrected protein,g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,51.34843581,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Chitin,g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,10.35598706,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Ca (mg),mg/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,7011.866235,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
I (ug),ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Fe (mg),mg/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Zn (mg),mg/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. B12 (ug),ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vitamin D2(µg),ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vitamin D3,ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. D (ug),ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
ALA 18:3 n-3 (g),g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
EPA 20:5 n-3 (g),g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
DPA 22:5 n-3 (g),g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
DHA 22:6 n-3 (g),g/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Vit. A (ug),ug/100g,Kroeckel et al 2012,Black soldier fly,Dry weight,cereal by-product-commercial Germany,Future foods,NA,Kroeckel et al 2012_Black soldier fly_Dry weight_cereal by-product-commercial Germany_Future foods
Water,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,66.5,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Protein (g),g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,43.88059701,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Chitin corrected protein,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Chitin,g/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Ca (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
I (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Fe (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Zn (mg),mg/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Vit. B12 (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Vitamin D2(µg),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Vitamin D3,ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
Vit. D (ug),ug/100g,Nguyen et al 2015,Black soldier fly,Dry weight,chicken feed,Future foods,NA,Nguyen et al 2015_Black soldier fly_Dry weight_chicken feed_Future foods
