Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol1_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,90.98,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,9.8,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol2,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol2_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,91.84,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,11,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Austevol3,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Austevol3_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,92.99,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,15.4,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya1,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya1_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,91.16,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,12.4,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya5,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya5_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,89.79,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,13.6,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya6,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya6_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,90.25,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,11.3,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya7,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya7_Future foods
Water,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,89.74,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Protein (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,11.9,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Chitin corrected protein,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Chitin,g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Ca (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
I (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Fe (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Zn (mg),mg/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Vit. B12 (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Vitamin D2(µg),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Vitamin D3,ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Vit. D (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
ALA 18:3 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
EPA 20:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
DPA 22:5 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
DHA 22:6 n-3 (g),g/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Vit. A (ug),ug/100g,Reissiger 2016,Sugar kelp,Dry weight,Froya8,Future foods,NA,Reissiger 2016_Sugar kelp_Dry weight_Froya8_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,87,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,1.3,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo1_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,78,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,1.7,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,July,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_July_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,79,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,6,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
